,date,vaccine_num_total,vaccine_num_daily,link
0,2022-12-12,3450244000,1252000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/e2b3e84dad9a4dd69e2b333af7e401c6.shtml
1,2022-12-11,3448992000,817000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/d549a765d6584ecd85b67ebf78155b04.shtml
2,2022-12-10,3448175000,1023000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/bdf09923a0724760becaa8a775c71a6b.shtml
3,2022-12-09,3447152000,1011000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/32d1b1c431c542ac99a3d43b05cf2073.shtml
4,2022-12-08,3446141000,739000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/91e92764032940858a47326314afad30.shtml
5,2022-12-07,3445402000,496000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/fb45db9968d948c7a22d82ff9b0f84db.shtml
6,2022-12-06,3444906000,358000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/f43d662ccc444430a8d110d056d17d05.shtml
7,2022-12-05,3444548000,253000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/a33e0770d251402ca15c361e5a37943c.shtml
8,2022-12-04,3444295000,129000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/4b8c52f3abef4295b308bc4bd17c663c.shtml
9,2022-12-03,3444166000,156000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/b61523d0419244618f06626bc9dfaa4b.shtml
10,2022-12-02,3444010000,123000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/3bbfb68c6a664183ae334d3d739cce71.shtml
11,2022-12-01,3443887000,138000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/29a8d964493646f5b4e1472c5b7dd820.shtml
12,2022-11-30,3443749000,195000,http://www.nhc.gov.cn/xcs/yqjzqk/202212/89c2e70ef019464bb39702922955a20b.shtml
13,2022-11-29,3443554000,103000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/44ba0f46473c4cbaaf6e8dcbc79818cc.shtml
14,2022-11-28,3443451000,124000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/273b32f9a5ed4f9280f24e9ceefbab1d.shtml
15,2022-11-27,3443327000,87000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/5b4970ab4a184e84aa6c62753ceb8e3e.shtml
16,2022-11-26,3443240000,126000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/65fbcd7877a24a4487f32fbabdc7ffee.shtml
17,2022-11-25,3443114000,138000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/35b6cb5a6a214ecdaf9e6b1b5affaa36.shtml
18,2022-11-24,3442976000,136000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/be85b530b30c4c54b0d794876db24756.shtml
19,2022-11-23,3442840000,157000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/6fb772a75ab24163ba0af83797e9582e.shtml
20,2022-11-22,3442683000,144000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/7260b67ef7b64de6970c6735240bd909.shtml
21,2022-11-21,3442539000,163000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/6a4b3638e2d54b8fba7e4ffd218a9c86.shtml
22,2022-11-20,3442376000,123000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/94f38019824f421c970b87b9802878d9.shtml
23,2022-11-19,3442253000,173000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/f1d974c83ad04ea8bc9390ff2f363926.shtml
24,2022-11-18,3442080000,221000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/c6334349c9b14306be9970bfb5bf86d7.shtml
25,2022-11-17,3441859000,179000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/559d9d310c4a4116a9be0d63f5a14463.shtml
26,2022-11-16,3441680000,183000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/a000c0b89d8442c5a3506b73f350c74c.shtml
27,2022-11-15,3441497000,163000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/5994446437f94f02bec1c0c0f6b77fb6.shtml
28,2022-11-14,3441334000,129000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/4c494e4a58784bfda3b1523bbc665e19.shtml
29,2022-11-13,3441205000,79000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/687dbb88d1644a4a9eb44ab1cebbdd2e.shtml
30,2022-11-12,3441126000,119000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/75c162c7461547558ce154cdd6923ccb.shtml
31,2022-11-11,3441007000,128000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/9e7d302c0bd94b67a1c16b131fa74786.shtml
32,2022-11-10,3440879000,119000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/5c92b4788c6d4e02b03c53ee3f921dee.shtml
33,2022-11-09,3440760000,122000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/507b963ee90f450392410796fa4307ff.shtml
34,2022-11-08,3440638000,114000,http://www.nhc.gov.cn/xcs/yqjzqk/202211/ede169064d2a491896e773ad2d18b7a2.shtml
